sp,cytb,rag1,16s,12s,ghr,coi,vwf
Makalata_rhipidura,KJ742663,KJ742686,NA,NA,KJ742638,NA,KJ742617
Phyllomys_blainvillii,JF297836,KF590664,NA,KF590706,KF590692,JF297686,JF297735
Phyllomys_brasiliensis,EF608182,NA,NA,AY093666,NA,JF297680,JF297729
Phyllomys_dasythrix,EF608185,KJ742689,NA,KJ742605,KJ742641,JF297660,JF297709
Phyllomys_lamarum,EF608181,NA,NA,NA,NA,JF297682,JF297731
Phyllomys_lundi,EF608183,NA,NA,NA,NA,JF297672,JF297721
Phyllomys_mantiqueirensis,EF608179,NA,NA,NA,NA,JF297671,JF297720
Phyllomys_nigrispinus,EF608184,NA,NA,NA,NA,JF297666,JF297719
Phyllomys_pattoni,EF608187,KJ742690,NA,KJ742606,KJ742642,JF297704,JF297754
Phyllomys_unicolor,EF608188,NA,NA,NA,NA,NA,NA
Carterodon_sulcidens,KJ742666,KJ742678,NA,KJ742596,KJ742640,NA,KJ742615
Clyomys_laticeps,AF422918,KJ742679,AF422885,KJ742597,KJ742628,NA,AJ849306
Euryzygomatomys_spinosus,EU544667,KJ742680,NA,NA,KJ742629,GU938885,AJ849319
Hoplomys_gymnurus,AF422922,JN414965,AF422896,AF520668,JN414758,NA,JN415080
Lonchothrix_emiliae,EU313229,NA,AF422891,AF422857,NA,NA,NA
Mesomys_hispidus,KF590696,EU313322,AF422895,KF590705,KF590688,HQ919652,KF590671
Mesomys_occultus,NA,EU313331,AF422893,AF422859,KF590689,NA,NA
Mesomys_stimulax,KJ742667,KJ742674,NA,KJ742603,KJ742630,NA,KJ742618
Proechimys_cuvieri,AY206633,KF590665,NA,KF590707,KF590693,JF458720,KF590675
Proechimys_guyannensis,NA,NA,NA,KX381547,NA,EU096897,NA
Proechimys_hoplomyoides,NA,NA,NA,NA,NA,EU095484,NA
Proechimys_longicaudatus,NA,KJ742681,NA,U12447,KJ742643,NA,KJ742619
Proechimys_quadruplicatus,AF308435,NA,NA,NA,NA,EU095487,AJ849313
Proechimys_roberti,EU544666,NA,NA,NA,NA,NA,NA
Proechimys_simonsi,U35414,EU313333,AF422898,AF422864,KJ742631,EU095486,AJ849320
Proechimys_steerei,NA,NA,NA,NA,NA,JF459060,NA
Thrichomys_apereoides,EU544668,EU313335,AF422890,AF422856,JX515325,NA,AJ849315
Thrichomys_inermis,JX459887,NA,NA,NA,NA,NA,NA
Thrichomys_pachyurus,AY083340,NA,NA,NA,NA,NA,NA
Trinomys_albispinus,KM014008,KM013992,KM013976,KM013964,KM013987,NA,KM014003
Trinomys_dimidiatus,AF194296,KJ742682,AF422901,AF422867,NA,NA,KJ742620
Trinomys_eliasi,KJ707247,NA,AF422903,AF422869,NA,NA,NA
Trinomys_gratiosus,KJ707248,NA,NA,NA,NA,NA,NA
Trinomys_iheringi,EU544664,EU313338,AF422902,AF422868,KF590695,NA,KF590677
Trinomys_moojeni,KF562097,NA,NA,NA,NA,NA,NA
Trinomys_paratus,U35165,NA,AF422900,AF422866,JX515330,NA,AJ849316
Trinomys_setosus,AF422924,NA,AF422906,AF422872,JX515329,NA,AJ849317
Trinomys_yonenagae,AF194295,NA,AF422899,AF422865,JX515328,NA,AJ849318
